	z	xi	dl	da
214	0.214	871.4433217552582	1057.9321926108835	717.8281068824203
215	0.215	875.2960169522382	1063.4846605969694	720.4082444051343
216	0.216	879.1466455177944	1069.042320949638	722.9824387481862
217	0.217	882.9952073790038	1074.6051673802476	725.5507045020573
218	0.218	886.8417024676355	1080.17319360558	728.1130562131655
219	0.219	890.6861307201448	1085.7463933478566	730.66950838404
220	0.22	894.5284920776595	1091.3247603347445	733.2200754734914
221	0.221	898.3687864859733	1096.9082882993735	735.7647718967839
222	0.222	902.2070138955349	1102.4969709803436	738.303612025806
223	0.223	906.0431742614386	1108.0908021217394	740.8366101892384
224	0.224	909.8772675434145	1113.6897754731394	743.3637806727243
225	0.225	913.7092937058186	1119.2938847896278	745.8851377190356
226	0.226	917.5392527176234	1124.9031238318064	748.4006955282409
227	0.227	921.3671445524088	1130.5174863658058	750.9104682578718
228	0.228	925.1929691883506	1136.1369661632946	753.4144700230868
229	0.229	929.0167266082126	1141.7615570014934	755.9127148968369
230	0.23	932.8384167993358	1147.391252663183	758.4052169100291
231	0.231	936.6580397536288	1153.0260469367172	760.8919900516887
232	0.232	940.475595467558	1158.6659336160315	763.3730482691218
233	0.233	944.2910839421378	1164.310906500656	765.848405468076
234	0.234	948.1045051829204	1169.9609593957239	768.3180755129015
235	0.23500000000000001	951.9158591999872	1175.6160861119843	770.7820722267102
236	0.23600000000000002	955.7251460079368	1181.2762804658098	773.2404093915346
237	0.23700000000000002	959.5323656258772	1186.9415362792101	775.693100748486
238	0.23800000000000002	963.3375180774146	1192.6118473798392	778.1401599979117
239	0.23900000000000002	967.140603390644	1198.287207601008	780.5816007995511
240	0.24	970.9416215981386	1203.9676107816917	783.0174367726923
241	0.241	974.7405727369411	1209.653050766544	785.4476814963264
242	0.242	978.5374568485528	1215.3435214059025	787.8723485093018
243	0.243	982.3322739789236	1221.039016555802	790.2914513104777
244	0.244	986.1250241784421	1226.739530077982	792.7050033588763
245	0.245	989.9157075019266	1232.4450558398987	795.1130180738365
246	0.246	993.7043240086126	1238.1555877147314	797.5155088351626
247	0.247	997.4908737621461	1243.871119581396	799.9124889832768
248	0.248	1001.2753568305704	1249.591645324552	802.3039718193673
249	0.249	1005.0577732863184	1255.3171588346117	804.6899706055391
250	0.25	1008.8381232062007	1261.047654007751	807.0704985649606
251	0.251	1012.6164066713976	1266.7831247459183	809.4455688820126
252	0.252	1016.3926237674461	1272.5235649568426	811.815194702433
253	0.253	1020.166774584233	1278.268968554044	814.1793891334661
254	0.254	1023.9388592159823	1284.019329456842	816.5381652440051
255	0.255	1027.7088777612462	1289.774641590364	818.891536064738
256	0.256	1031.4768303228955	1295.5348988855567	821.2395145882925
257	0.257	1035.2427170081073	1301.300095279191	823.5821137693773
258	0.258	1039.0065379283574	1307.0702247138736	825.9193465249264
259	0.259	1042.7682931994082	1312.8452811380548	828.25122573424
260	0.26	1046.5279829413	1318.625258506038	830.577764239127
261	0.261	1050.2856072783388	1324.4101507779853	832.8989748440434
262	0.262	1054.041166339089	1330.1999519199303	835.2148703162353
263	0.263	1057.7946602563602	1335.9946559037828	837.5254633858751
264	0.264	1061.546089167199	1341.7942567073394	839.8307667462017
265	0.265	1065.2954532128776	1347.5987483142903	842.1307930536582
266	0.266	1069.042752538884	1353.4081247142274	844.4255549280285
267	0.267	1072.7879872949122	1359.2223799026538	846.7150649525748
268	0.268	1076.531157634851	1365.0415078809913	848.9993356741728
269	0.269	1080.2722637167742	1370.8655026565866	851.2783796034469
270	0.27	1084.0113057029307	1376.694358242722	853.552209214906
271	0.271	1087.748283759733	1382.5280686586207	855.8208369470757
272	0.272	1091.483198057749	1388.3666279294566	858.0842752026329
273	0.273	1095.216048771689	1394.2100300863601	860.342536348538
274	0.274	1098.9468360803971	1400.058269166426	862.5956327161673
275	0.275	1102.6755601668413	1405.9113392127224	864.8435766014442
276	0.276	1106.4022212181014	1411.7692342742976	867.0863802649698
277	0.277	1110.1268194253605	1417.6319484061855	869.3240559321538
278	0.278	1113.849354983893	1423.4994756694152	871.5566157933434
279	0.279	1117.569828093056	1429.3718101310185	873.7840720039532
280	0.28	1121.2882389562762	1435.2489458640337	876.0064366845908
281	0.281	1125.0045877810442	1441.1308769475177	878.2237219211897
282	0.28200000000000003	1128.718874778898	1447.0175974665472	880.435939765131
283	0.28300000000000003	1132.4311001654185	1452.9091015122317	882.6431022333737
284	0.28400000000000003	1136.1412641602144	1458.8053831817153	884.8452213085782
285	0.28500000000000003	1139.8493669869151	1464.7064365781862	887.0423089392335
286	0.28600000000000003	1143.5554088731587	1470.6122558108823	889.2343770397813
287	0.28700000000000003	1147.2593900505824	1476.5228349950994	891.4214374907401
288	0.28800000000000003	1150.9613107548107	1482.4381682521962	893.6035021388282
289	0.289	1154.661171225446	1488.3582497095997	895.7805827970877
290	0.29	1158.3589717060595	1494.2830735008167	897.9526912450074
291	0.291	1162.0547124441778	1500.2126337654333	900.1198392286428
292	0.292	1165.748393691274	1506.146924649126	902.2820384607384
293	0.293	1169.440015702759	1512.0859403036673	904.43930062085
294	0.294	1173.1295787379677	1518.0296748869303	906.5916373554619
295	0.295	1176.81708306015	1523.9781225628942	908.7390602781081
296	0.296	1180.5025289364623	1529.9312775016551	910.8815809694926
297	0.297	1184.1859166379536	1535.8891338794258	913.019210977605
298	0.298	1187.8672464395574	1541.8516858785456	915.1519618178409
299	0.299	1191.5465186200806	1547.8189276874846	917.2798449731183
300	0.3	1195.2237334621939	1553.790853500852	919.4028718939952
301	0.301	1198.898891252418	1559.7674575193957	921.521053998784
302	0.302	1202.5719922811177	1565.7487339500153	923.6344026736695
303	0.303	1206.2430368424887	1571.7346770057627	925.7429292728233
304	0.304	1209.9120252345476	1577.7252809058502	927.846645118518
305	0.305	1213.5789577591217	1583.720539875654	929.9455615012428
306	0.306	1217.2438347218383	1589.7204481467209	932.039689679815
307	0.307	1220.9066564321138	1595.7249999567725	934.1290408814949
308	0.308	1224.5674232031452	1601.7341895497138	936.2136263020988
309	0.309	1228.226135351896	1607.7480111756317	938.2934571061085
310	0.31	1231.8827931990888	1613.7664590908064	940.3685444267853
311	0.311	1235.5373970691949	1619.7895275577143	942.4388993662814
312	0.312	1239.1899472904208	1625.8172108450322	944.5045329957476
313	0.313	1242.8404441947007	1631.849503227642	946.5654563554461
314	0.314	1246.4888881176848	1637.886398986638	948.6216804548591
315	0.315	1250.1352793987292	1643.9278924093287	950.6732162727978
316	0.316	1253.7796183808846	1649.9739777892441	952.720074757511
317	0.317	1257.421905410887	1656.024649426138	954.7622668267934
318	0.318	1261.0621408391453	1662.0799016259937	956.799803368092
319	0.319	1264.7003250197336	1668.1397287010284	958.8326952386153
320	0.32	1268.336458310379	1674.2041249697002	960.8609532654385
321	0.321	1271.9705410724498	1680.273084756706	962.8845882456093
322	0.322	1275.6025736709475	1686.3466023929927	964.9036109462538
323	0.323	1279.232556474496	1692.4246722157582	966.9180321046833
324	0.324	1282.8604898553285	1698.5072885684551	968.9278624284958
325	0.325	1286.4863741892807	1704.5944458007968	970.9331125956836
326	0.326	1290.1102098557776	1710.6861382687612	972.9337932547342
327	0.327	1293.7319972378236	1716.7823603345919	974.9299150247352
328	0.328	1297.3517367219931	1722.883106366807	976.9214884954768
329	0.329	1300.9694286984188	1728.9883707401987	978.9085242275537
330	0.33	1304.5850735607812	1735.0981478358392	980.891032752467
331	0.331	1308.1986717062996	1741.2124320410846	982.869024572727
332	0.332	1311.8102235357192	1747.331217749578	984.8425101619513
333	0.333	1315.4197294533028	1753.4544993612526	986.8114999649683
334	0.334	1319.0271898668193	1759.582271282337	988.7760043979155
335	0.335	1322.6326051875335	1765.7145279253573	990.7360338483397
336	0.336	1326.235975830195	1771.8512637091405	992.6915986752956
337	0.337	1329.8373022130288	1777.9924730588195	994.6427092094457
338	0.338	1333.4365847577244	1784.1381504058354	996.5893757531572
339	0.339	1337.033823889424	1790.2882901879386	998.5316085806004
340	0.34	1340.6290200367146	1796.4428868491975	1000.4694179378466
341	0.341	1344.2221736316155	1802.6019348399964	1002.4028140429647
342	0.342	1347.8132851095684	1808.765428617041	1004.3318070861164
343	0.343	1351.402354909427	1814.9333626433604	1006.2564072296552
344	0.34400000000000003	1354.9893834734476	1821.1057313883136	1008.1766246082199
345	0.34500000000000003	1358.5743712472758	1827.282529327586	1010.0924693288297
346	0.34600000000000003	1362.157318679939	1833.463750943198	1012.0039514709798
347	0.34700000000000003	1365.7382262238348	1839.6493907235053	1013.911081086737
348	0.34800000000000003	1369.3170943347204	1845.8394431632032	1015.813868200831
349	0.34900000000000003	1372.8939234717027	1852.033902763327	1017.7123228107507
350	0.35000000000000003	1376.4687140972267	1858.232764031256	1019.6064548868345
351	0.35100000000000003	1380.041466677066	1864.4360214807161	1021.4962743723656
352	0.352	1383.6121816803131	1870.6436696317833	1023.3817911836637
353	0.353	1387.180859579368	1876.8557030108848	1025.2630152101758
354	0.354	1390.7475008499268	1883.072116150801	1027.1399563145692
355	0.355	1394.3121059709736	1889.292903590669	1029.0126243328218
356	0.356	1397.874675424768	1895.518059875985	1030.8810290743127
357	0.357	1401.4352096968362	1901.7475795586067	1032.7451803219133
358	0.358	1404.9937092759603	1907.9814571967543	1034.6050878320768
359	0.359	1408.5501746541665	1914.2196873550124	1036.4607613349276
360	0.36	1412.1046063267167	1920.4622646043347	1038.3122105343507
361	0.361	1415.6570047920975	1926.7091835220447	1040.1594451080805
362	0.362	1419.2073705520083	1932.9604386918354	1042.0024747077887
363	0.363	1422.7557041113537	1939.216024703775	1043.8413089591736
364	0.364	1426.302005978231	1945.4759361543067	1045.6759574620462
365	0.365	1429.8462766639193	1951.7401676462498	1047.506429790417
366	0.366	1433.3885166828725	1958.008713788804	1049.332735492586
367	0.367	1436.9287265527057	1964.2815691975486	1051.1548840912258
368	0.368	1440.4669067941863	1970.5587284944468	1052.9728850834697
369	0.369	1444.0030579312224	1976.8401863078434	1054.7867479409952
370	0.37	1447.537180490855	1983.1259372724714	1056.5964821101131
371	0.371	1451.069275003244	1989.4159760294476	1058.4020970118484
372	0.372	1454.5993420016623	1995.7102972262805	1060.203602042028
373	0.373	1458.1273820224812	2002.0088955168667	1062.001006571363
374	0.374	1461.6533956051633	2008.3117655614944	1063.7943199455335
375	0.375	1465.1773832922506	2014.6189020268446	1065.5835514852731
376	0.376	1468.6993456293546	2020.9302995859919	1067.3687104864496
377	0.377	1472.2192831651455	2027.2459529184055	1069.1498062201492
378	0.378	1475.7371964513445	2033.5658567099529	1070.926847932761
379	0.379	1479.2530860427082	2039.8900056528946	1072.6998448460538
380	0.38	1482.7669524970245	2046.2183944458936	1074.4688061572642
381	0.381	1486.2787963750989	2052.5510177940114	1076.2337410391738
382	0.382	1489.788618240743	2058.887870408707	1077.9946586401902
383	0.383	1493.2964186607694	2065.228947007844	1079.751568084432
384	0.384	1496.8021982049754	2071.5742423156858	1081.5044784718032
385	0.385	1500.3059574461365	2077.923751062899	1083.253398878077
386	0.386	1503.8076969599965	2084.277467986555	1084.9983383549757
387	0.387	1507.307417325254	2090.635387830127	1086.739305930248
388	0.388	1510.805119123557	2096.997505343497	1088.47631060775
389	0.389	1514.3008029394873	2103.363815282948	1090.2093613675215
390	0.39	1517.794469360554	2109.7343124111703	1091.938467165866
391	0.391	1521.2861189771845	2116.1089914972636	1093.663636935431
392	0.392	1524.775752382709	2122.487847316731	1095.3848795852796
393	0.393	1528.2633701733557	2128.8708746514844	1097.1022040009732
394	0.394	1531.7489729482386	2135.2580682898447	1098.8156190446473
395	0.395	1535.2325613093467	2141.6494230265384	1100.5251335550872
396	0.396	1538.7141358615345	2148.044933662702	1102.2307563478041
397	0.397	1542.1936972125131	2154.4445950058807	1103.9324962151131
398	0.398	1545.6712459728371	2160.8484018700265	1105.6303619262067
399	0.399	1549.1467827558984	2167.256349075502	1107.3243622272325
400	0.4	1552.620308177913	2173.668431449078	1109.0145058413666
401	0.401	1556.0918228579121	2180.084643823935	1110.700801468888
402	0.402	1559.5613274177326	2186.5049810396613	1112.3832577872556
403	0.403	1563.028822482006	2192.9294379422545	1114.0618834511804
404	0.404	1566.4943086781489	2199.358009384121	1115.7366870926987
405	0.405	1569.9577866363527	2205.7906902240757	1117.4076773212475
406	0.406	1573.4192569895745	2212.227475327342	1119.0748627237372
407	0.40700000000000003	1576.8787203735253	2218.66835956555	1120.7382518646234
408	0.40800000000000003	1580.3361774266625	2225.1133378167406	1122.397853285982
409	0.40900000000000003	1583.7916287901771	2231.5624049653597	1124.0536755075777
410	0.41000000000000003	1587.2450751079868	2238.015555902262	1125.7057270269408
411	0.41100000000000003	1590.6965170267226	2244.4727855247056	1127.3540163194348
412	0.41200000000000003	1594.1459551957223	2250.9340887363596	1128.9985518383303
413	0.41300000000000003	1597.5933902670167	2257.3994604472946	1130.6393420148738
414	0.41400000000000003	1601.0388228953248	2263.8688955739894	1132.2763952583625
415	0.41500000000000004	1604.4822537380385	2270.3423890393246	1133.909719956211
416	0.41600000000000004	1607.9236834552169	2276.819935772587	1135.5393244740233
417	0.417	1611.363112709573	2283.301530709465	1137.1652171556618
418	0.418	1614.8005421664666	2289.7871687920497	1138.7874063233191
