 T   log_Wcor   Icor   Mcor 
 3      2.742  10.44  -22.80
 3      2.740  10.91  -22.29
 5      2.513  11.86  -20.81
 5      2.410  12.60  -20.34
 5      2.522  12.07  -21.26
 3      2.526  12.49  -20.95
 5      2.571  11.87  -21.23
 5      2.345  13.36  -19.73
 4      2.445  11.36  -21.75
 3      2.477  12.26  -20.80
 5      2.398  13.36  -20.42
 5      2.479  12.01  -21.05
 7      2.301  12.78  -20.16
 3      2.335  13.03  -19.58
 5      2.461  12.73  -20.33
 3      2.263  13.11  -19.39
 5      2.412  12.36  -20.69
 5      2.470  11.81  -20.70
 5      2.645  10.07  -22.36
 5      2.482  11.74  -21.33
 3      2.493  11.68  -21.38
 3      2.547  10.86  -21.59
 5      2.184  14.90  -17.63
 5      2.411  12.19  -20.38
 3      2.721  10.54  -21.89
 5      2.483  12.93  -20.59
 3      2.581  11.88  -21.09
 5      2.235  13.92  -19.03
 5      2.406  12.86  -20.11
 5      2.154  13.11  -19.18
 3      2.372  11.73  -19.82
 5      2.448  11.12  -20.81
 5      2.255  12.82  -18.97
 5      2.535  11.46  -21.03
 5      2.514  11.56  -21.00
 5      2.182  13.35  -18.48
 4      2.198  14.22  -17.61
 3      2.288  13.02  -18.82
 5      2.408  11.68  -20.16
 5      2.562  11.19  -20.64
 3      2.438  11.50  -20.33
 5      2.278  13.55  -18.29
 7      2.225  12.93  -18.91
 5      2.204  13.31  -17.54
 3      2.711   9.45  -22.37
 5      1.939  14.05  -16.68
 3      2.589  10.85  -20.99
 5      2.449  11.71  -20.13
 3B     2.254  13.24  -18.60
 5      2.468  11.56  -20.28
 5      2.611  10.51  -21.99
 4      2.557  11.45  -20.26
 5      2.186  14.02  -17.85
 3      2.475  12.04  -20.72
 5      2.080  13.02  -17.90
 7      2.151  13.01  -18.70
 5      2.235  13.91  -18.68
 4      2.534  11.62  -20.96
 6      2.353  11.22  -20.10
 5      2.502   9.69  -20.56
 3      2.619  11.19  -21.28
 5      2.317  10.88  -19.02
 5      2.503  11.87  -20.32
 3      2.543  10.99  -20.63
 5      2.323  12.63  -19.05
 3      2.656  10.51  -21.77
 5      2.290  13.18  -18.76
 5      2.280  13.29  -18.80
 5      2.497   9.97  -20.40
 5      2.319  11.30  -19.43
 3      2.671  10.95  -20.18
 5      2.427  10.82  -20.28
 3      2.545  10.06  -20.71
 3      2.394  10.32  -19.74
 6      2.102  13.26  -16.96
 5      2.385  13.01  -20.25
 5      2.403  11.88  -20.59
 5      2.369  13.01  -19.74
 5      2.399  13.25  -20.04
 5      2.374  13.65  -18.84
 5B     2.290  14.24  -18.87
 5      2.445  12.33  -20.41
 5      2.673  11.43  -21.85
 5      2.346  13.64  -19.56
 3B     2.533  12.03  -21.17
 3      2.481  11.72  -20.11
 5      2.618  10.06  -21.77
 8      2.235  13.15  -19.60
 5      2.300  13.92  -19.28
 5      2.452  12.89  -20.44
10      2.275  12.96  -19.78
 5      2.318  13.13  -19.62
 3      2.463  12.50  -20.25
 3B     2.621  11.61  -21.72
 5B     2.306  13.28  -19.46
 3      2.471  12.20  -20.54
 5      2.472  12.27  -20.48
 4      2.191  13.13  -19.61
 5      2.391  13.99  -18.78
 3      2.558  11.62  -21.13
 3      2.310  13.21  -20.19
 5      2.342  14.07  -19.24
 6      2.149  14.33  -18.41
 3      2.268  13.82  -18.93
 3B     2.495  12.78  -19.98
 5      2.211  14.49  -18.45
 5B     2.262  13.73  -19.07
 5      2.368  11.43  -20.63
 5      2.377  13.24  -20.57
 5      2.381  13.51  -20.16
 3      2.654  12.77  -22.01
 5B     2.367  12.92  -20.65
 3      2.673  12.64  -22.14
 3      2.520  13.17  -21.61
 3      2.376  14.90  -19.89
 5      2.518  13.79  -21.00
 3      2.163  15.88  -18.90
 3      2.469  14.48  -20.30
 3      2.356  14.60  -20.18
 3      2.283  16.03  -19.29
 3B     2.621  12.65  -22.13
 3      2.443  13.81  -20.96
 1      2.423  14.11  -20.67
 5      2.753  13.19  -22.17
 3      2.659  12.77  -22.01
 3      2.599  13.20  -21.11
 5      2.351  13.56  -20.75
 5      2.523  13.08  -21.22
 5      2.463  13.61  -20.70
 5      2.631  12.27  -22.04
 5      2.318  14.13  -20.23
 3B     2.730  12.19  -22.59
 3B     2.725  11.96  -22.52
 4      2.584  12.93  -21.85
 5      2.599  13.21  -21.57
 5      2.514  13.60  -20.89
 3B     2.635  12.78  -22.50
 3      2.760  12.10  -22.60
 3      2.530  13.07  -21.42
 3      2.655  13.15  -21.64
 3      2.487  13.43  -21.05
 3      2.474  13.32  -21.16
 3      2.559  13.39  -21.09
 2      2.549  13.20  -21.28
 4      2.483  13.66  -20.82
 0      2.706  12.46  -22.02
 3B     2.607  12.46  -21.65
 4      2.433  13.49  -20.85
