 GIN  Name xx      CAN    cz     e sigma   e  dsigma
418  A2040 2     48  13723   48   272   82     99
419  A2052 A     49  10308   30   300   45     19
420  A2052 B     49   9359   17   168   21     25
421  A2052 C     49   9983   21   218   15     99
422  A2052 D     49   9085   20   134   18     99
423  A2052 E     49   9571   22   160   20     99
424  A2052 F     49  10328   19   119   15     99
425  A2052 G     49  10974   22   230   15     99
426  A2063 A     50  10223   35   240   52     99
427  A2063 B     50  10354   16   175   11      5
428  A2063 C     50  10351   21   198   14     99
429  A2063 D     50  10375   20   147   12     99
430  A2063 E     50   9835   23   204   18     99
431  A2063 F     50  10732   19   137   10     99
432  A2063 G     50   9868   22   186   16     99
433  A2063 H     50  10318   21   217   14     99
436  A2107 A     51  12525   25   324   31     46
437  A2107 B     51  12579   21   258   33     99
438  A2107 C     51  12165   26   172   29     99
439  A2107 D     51  12955   23   265   22     99
440  A2107 E     51  12388   22   136   13     99
441  A2107 1     51  12949   20    75   11     99
443  J17 A       52  10102   26   264   27      6
444  J17 B       52   9980   22   175   28     10
445  J17 C       52   8956   32   195   36     99
446  J17 D       52   9925   43   308   47     99
447  J17 E       52   9955   36   224   57     99
449  J17 G       52  10978   27   147   49     99
453  A2147 A     53  10588   38   264   59     99
454  A2147 B     53  10700   35   246   51     99
455  A2147 C     53  11654   39   221   69     99
456  A2147 D     53  11877   57   337  109     99
457  A2147 E     53  11032   22   253   16     99
459  A2147 G     53  11056   30   222   40     99
460  A2147 H     53  10602   48   259  100     99
461  A2147 I     53  10418   25   249   21     99
462  A2147 J     53  11538   21   155   14     99
466  A2147 4     53  10673   21   155   12     99
467  A2147 5     53   9498   21   216   14     99
468  P386-1 A    54   4410   21   249   27     99
469  P386-1 B   154  13830   22   191   34     99
471  P386-1 1   254  26612   74   382  160     99
472  P386-2 A    55   9607   15   259   11      2
473  P386-2 B    55   9715   17   170   10     99
474  P386-2 C    55   9589   17   210   11      1
476  P386-2 1   155  20285   32   134   48     99
478  A2148 A     56  26874   34   284   40     99
479  A2148 B     56  25701   29   255   30     99
480  A2148 C    256  12730   23   123   27     99
481  A2148 D    156   7955   21    65   12     99
482  A2148 E    356  21558   73   999  999     99
485  A2148 2     56  26265   55   278   96     99
487  J18 A       57   9630   54   384   60     99
488  J18 B       57   9018   24   128   27     99
489  J18 C       57   9517   60   358   80     99
490  J18 D       57   9729   17   106   10     14
491  J18 E       57   9507   23   179   15     99
492  J18 F       57   9725   21   114   13     99
493  J18 1      157  16075   47   221   74     99
495  A2151 A     58  10526   68   409  128     99
496  A2151 B     58  10705   22   209   24     99
497  A2151 C     58   9917   46   224   73     99
498  A2151 D     58   9360   22   213   16     99
499  A2151 E     58   9936   21   162   10     99
500  A2151 F     58  10355   37   192   53     99
501  A2151 G     58  12076   33   366   51     99
502  A2151 H     58  11689   23   225   18     99
503  A2151 I     58  12020   21   108   10     99
504  A2151 J     58  11324   25   270   27     99
505  A2151 K     58  10595   16   195   11     19
506  A2151 L     58  11373   21   110   11     99
507  A2151 M     58  11044   27   323   29     99
508  A2151 N     58  11404   23   251   20     99
509  A2151 O     58  11631   24   213   19     99
510  A2151 1     58  11136   58   285  149     99
511  A2152 A     59  12066   20   280   19      0
512  A2152 B     59  13246   26   237   19     99
513  A2152 C     59  12311   17   240   15     13
514  A2152 D     53  10896   16   162   13     13
515  A2152 E     59  11893   24   134   33     99
517  A2152 G     53  10142   19   153   11     99
518  A2152 H     59  13283   30   280   26     99
519  A2152 I     59  13624   40   313   34     99
524  A2152 N     59  12930   19   150   13     16
525  A2152 1     59  13559   26   263   26     99
527  A2152 3     53  10412   20   112   12     99
528  P445-1 A    60  13618   25   252   25     99
529  P445-1 B    60  14323   24   181   19     99
530  P445-1 C    60  13880   30   283   35     99
531  P445-1 D    60  14329   23   161   15     99
532  P445-1 E   260  18545   30   247   33     99
533  P445-1 F    60  13817   24   211   18     99
534  P445-1 G   160   9823   22   162   13     99
535  P445-1 1   160  11125   30   132   44     99
536  P445-2 A    53  11106   25   343   35     99
537  P445-2 B    53  10388   24   225   20     99
538  P445-2 C    61   4742   21   185   10     99
539  P445-2 D    61   4742   21   137    7     99
540  A2162-N A   62  14847   22   172   16     99
541  A2162-N B   62  14395   28   222   25     99
542  A2162-N C   62  15172   20   201   18     19
543  A2162-N D   62  15367   31   234   24     99
545  A2162-N 1   62  14811   53   301  100     99
546  A2162-S A   63   9602   28   288   31     31
547  A2162-S B  163  14994   85   487  142     99
548  A2162-S C  163  14905   18   256   13      2
549  A2162-S D  163  16237   18    71   14     99
550  A2162-S E  163  16086   14   183   10     11
552  A2162-S G   63   9613   84   448  196     99
554  A2162-S I  163  15593   40   223   61     99
555  A2162-S 1   63   9883   32   147   45     99
556  A2162-S 2  263  27486   73   999  999     99
557  J20 A       64   9429   31   266   43     99
558  J20 B       64   8921   16   204   21     12
559  J20 C       64   9431   23   283   37     99
560  J20 D       64   8695   22   192   39     99
561  J20 E       64   8836   21   206   13     99
562  A2197 A     65   8784   15   257   18      5
563  A2197 B     65   9523   21   210   21     22
564  A2197 C     65   8820   16   276   18      8
565  A2197 D     65   8970   19   110   17     99
566  A2197 E     65   8922   13   261   13     13
568  A2197 G     65   8248   24   156   29     99
571  A2197 J     65   9092   13   154    8     13
572  A2197 K     65   9553   33   168   47     99
573  A2197 L     65   9673   20   192   12     99
574  A2197 M     65   9524   34   177   47     99
578  A2197 3     65  10344   34   168   47     99
579  A2199 A     66   9303   30   281   39     99
580  A2199 B     66   8800   21   158   30     99
581  A2199 C     66   7834   21   160   11     99
582  A2199 D     66   8716   21   194   12     99
